"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"26",0.3,0.1065,0.1301,0.2645,0.0829,-0.01,0.0691,0.0684,0.0769,-0.0062,-0.0571,0.2,0.0232,0.0555,0.1578,-0.0092,0.0589,0.044,-0.0774,0.0874,0.0203,-0.0671,0.068,0.1006,0.0824,1,-0.0586,0.0308,0.1862,-0.0602,0.1792,0.0746,0.0622,-0.1,-0.0462,-0.0588,-0.0319,0.1693,-0.2082,-0.0686,0.0809,0.0392,0.1494,-0.0852,0.1637,0.0741,-0.27,-0.0834,0.0257,-0.0925,0.0291,0.0271,0.0721,0.0105,0.0785,0.2572,-0.0618,-0.042,-0.1336,0.1385,-0.0084,0.0169,0.0163,0.0481,0.0909,-0.0377,-0.0346,-0.1334,0.0878,0.0688,0.0926,0.0651,-0.0525,-0.0186,-0.0364,0.1019
"27",-0.0859,0.0812,-0.0115,-0.1134,0.1486,0.0357,-0.0017,0.1258,0.0348,-0.0318,-0.031,-0.1,0.1018,-0.213,-0.1419,0.3207,-0.0389,0.0703,0.0235,-0.0965,-0.0212,0.1283,0.0702,-0.1804,0.4193,-0.0586,1,-0.0845,-0.1703,-0.0572,0.1092,-0.0678,0.1285,0.5,-0.044,0.0242,-0.0905,-0.0122,-0.0989,0.0303,0.0656,0.0824,0.16,0.1382,0.0794,-0.0396,-0.0358,-0.1342,0.1009,0.0352,0.0241,0.0903,-0.0407,0.0769,-0.0983,-0.3034,0.1186,0.0043,-0.0073,-0.1137,-0.2225,-0.2425,-0.0101,0.1347,0.1783,-0.3004,0.049,0.0168,-0.0818,0.0456,-0.0466,0.0589,0.4242,0.0033,-0.0701,-0.1523
"28",-0.2,0.3,0.3,-0.2857,0.1794,0.1882,0.0794,0.082,-0.2212,0.171,-0.1459,0.7,-0.1635,0.8,-0.1107,0.0243,-0.1443,0.4674,-0.0202,-0.13,0.0019,-0.0746,0.0449,0.6669,-0.1857,0.0308,-0.0845,1,0.5063,0.2245,0.3006,0.4634,-0.0186,-0.622,-0.0247,0.1224,0.5334,-0.0648,0.0312,-0.1011,-0.0528,0.036,-0.0516,0.0364,0.0424,-0.0508,-0.1313,0.0147,-0.004,-0.0671,-0.0158,0.0318,-0.0131,0.3517,0.4448,0.6572,0.2947,-0.0149,0.1111,0.0513,0.0641,0.4629,0.0241,0.0171,0.0928,-0.0141,0.031,-0.0483,-0.1569,-0.023,0.5108,0.0257,-0.3349,0.0544,0.3681,0.9
"29",0.7,0.3,0.7,0.3589,0.2337,0.3867,-0.1184,0.0219,-0.7,0.0832,-0.7,0.1304,-0.8,0.8,0.0218,0.0072,-0.0576,0.3062,-0.0025,0.0101,0.0225,0.0783,0.1127,0.6917,-0.0684,0.1862,-0.1703,0.5063,1,-0.0279,0.0774,0.6608,0.0853,-0.7,0.1937,0.1103,0.3923,-0.0879,-0.0398,-0.095,0.0956,0.0765,-0.0125,0.0332,-0.0194,-0.0315,-0.0486,-0.0106,-0.0261,-0.3865,-0.2596,-0.4337,-0.3668,-0.0968,0.3898,0.453,0.1929,-0.0743,0.0058,-0.0583,-0.0907,0.4173,-0.216,-0.0545,0.0012,-0.0469,-0.0064,-0.0128,0.0182,0.0338,0.5504,0.3413,-0.1931,0.4048,0.3379,0.8
"30",-0.0386,0.0727,-0.0078,-0.0137,-0.0167,-0.0373,0.0713,-0.0524,-0.0189,0.0482,0.0035,0.7,0.0581,0.0688,0.0275,-0.1017,-0.0038,-0.1386,-0.056,0.049,0.0672,0.0597,-0.067,0.1467,0.1876,-0.0602,-0.0572,0.2245,-0.0279,1,0.2781,-0.0915,0.0168,0.0206,0.0259,0.0163,-0.0583,-0.1423,-0.023,-0.1206,-0.1016,0.0723,0.0504,0.1434,0.0085,0.0455,-0.0574,0.0619,0.023,0.1594,-0.0679,0.1595,0.0169,-0.0551,0.0628,0.1753,0.0437,-0.0669,1,-0.0067,0.0725,0.0696,0.1792,0.0429,0.0955,0.0323,0.0561,0.0756,0.0245,-0.0133,-0.1538,-0.0023,0.0159,0.0247,0.0488,-0.0028
"31",-0.0497,-0.0103,-0.0201,-0.0265,-0.0375,-0.0471,-0.0941,0.1439,-0.0684,-0.0528,-0.0764,0.7,-0.0725,0.1266,-0.1034,0.0453,-0.0065,-0.1198,0.0201,-0.051,0.1041,0.0453,0.0426,0.1487,0.1436,0.1792,0.1092,0.3006,0.0774,0.2781,1,0.1092,-0.0922,-0.0884,0.0714,-0.0075,-0.0244,0.0479,-0.0917,-0.006,0.0659,0.1068,-0.028,0.0281,-0.026,0.0471,-0.0047,-0.046,0.112,-0.1134,-0.1293,7e-04,-0.0946,0.0681,0.1351,0.2378,-0.0405,0.0427,0.1636,0.0156,0.0662,0.0749,0.0428,0.1289,1,-0.0881,-0.0176,-0.0382,0.0491,-0.0393,0.0805,-0.0335,-0.0327,0.0802,0.0498,0.1225
"32",-0.069,-0.0075,-0.0493,-0.0031,0.0509,-0.0456,-0.2768,0.1672,-0.5,0.147,-0.8,0.0964,-0.6,0.8,-0.0488,0.0198,-0.0599,0.08,-0.1053,-0.0248,0.1134,-0.0129,-0.0985,0.6754,0.0538,0.0746,-0.0678,0.4634,0.6608,-0.0915,0.1092,1,-0.0907,-0.3892,0.1606,0.2142,0.3027,-0.0464,-0.1352,-0.0867,0.0714,0.0018,-0.0287,-0.0079,0.0781,-0.0184,0.0438,-0.0455,0.0833,-0.2994,-0.2983,-0.4402,-0.4004,-0.2496,0.1677,0.2206,0.1733,-0.0304,-0.0823,-0.1397,-0.0539,0.1172,-0.1573,-0.1225,0.0434,0.0099,-0.0436,-0.0387,0.0191,0.0561,1,0.2006,0.1383,0.4685,0.43,0.4447
"33",-0.0974,-0.0077,-0.1545,-0.0709,0.0814,-0.0624,-0.0411,0.013,-0.2971,-0.0271,-0.0142,-0.0576,-0.1878,0.014,0.0059,-0.1396,-0.0659,-0.012,0.0346,-0.0403,-0.0969,0.1422,-0.1012,-0.0593,0.087,0.0622,0.1285,-0.0186,0.0853,0.0168,-0.0922,-0.0907,1,-0.086,-0.0069,-0.0673,0.0207,-0.1667,-0.0399,0.0555,-0.089,0.0908,0.0918,-0.0717,-0.0383,-0.1519,-0.1315,0.1026,-0.0973,-0.0651,0.0636,-0.0174,0.0174,-0.0125,0.0289,0.0143,-0.1309,-0.0583,0.0375,0.1589,-0.2546,0.1292,0.0596,-0.1074,-0.0779,-0.2048,0.0364,0.0361,0.0039,-0.0095,-0.1498,1,-0.0788,0.085,-0.0483,-0.0174
"34",0.0196,0.0376,-0.0551,-0.0064,-0.0106,-0.0651,0.2352,-0.0024,0.3944,-0.0766,0.1077,-0.2424,0.7,-0.7,0.0243,0.0296,0.0873,-0.3375,0.0538,0.0417,-0.0233,-0.0485,-0.0915,-0.4,0.6,-0.1,0.5,-0.622,-0.7,0.0206,-0.0884,-0.3892,-0.086,1,0.0179,-0.0736,-0.4732,0.0683,-0.0423,0.0887,-0.0052,-0.0758,0.0376,-0.0428,0.0217,0.0136,0.0035,0.046,0.0218,0.449,0.3161,0.226,0.1579,-0.1663,-0.6,-0.7,-0.2234,-0.0314,0.0053,-0.0704,0.1688,-0.8,0.2651,0.1386,0.0027,-0.0395,0.0167,-0.0285,0.0041,-0.017,-0.4023,-0.2946,1,-0.0677,-0.2817,-0.9
"35",-0.1855,0.019,-0.1214,-0.1133,-0.0205,-0.0319,0.0708,-0.0073,-0.4933,0.0529,-0.4678,-0.0653,-0.1853,-0.0089,0.1329,0.0482,-0.0675,0.0629,0.0686,-0.0417,-0.0334,0.0487,0.1053,0.1095,-0.1116,-0.0462,-0.044,-0.0247,0.1937,0.0259,0.0714,0.1606,-0.0069,0.0179,1,-0.0554,0.0024,-0.1585,0.0197,-0.1662,-0.0254,-0.0097,-0.0331,-0.0483,0.0163,0.0109,0.0425,-0.0861,0.0344,-0.0317,0.0252,-0.1444,-0.0741,-0.1075,0.0079,0.008,-0.1166,-0.0177,0.0904,0.0025,0.1207,0.0537,0.0626,0.1494,0.0815,-0.0609,-0.0423,-0.0482,0.0334,-0.0279,0.0609,0.1353,0.2801,1,-0.0612,0.0413
"36",0.0919,-0.0845,-0.0279,0.1296,-0.1666,-0.1213,-0.0171,0.0799,-0.0274,0.2115,-0.0049,0.055,-0.0153,0.4824,0.0649,-0.0641,-0.0021,-0.1383,-0.0162,0.0722,0.0904,-0.1122,-0.319,0.0969,0.0566,-0.0588,0.0242,0.1224,0.1103,0.0163,-0.0075,0.2142,-0.0673,-0.0736,-0.0554,1,0.0935,-0.1134,-0.0543,0.0022,-0.0648,0.0079,0.1099,0.0071,-0.1048,-0.1478,0.0173,0.0403,0.157,0.0124,-0.0102,0.0733,0.0251,-0.0474,-0.0274,-0.073,-0.029,-0.0921,-0.0403,-0.0125,0.0173,-0.2205,0.1071,0.1283,-0.0478,-0.0488,0.0116,0.0184,-0.0196,0.1247,0.0776,-0.0266,-0.0697,-0.0177,1,-0.009
"37",0.1046,-0.0113,0.1736,0.0667,-0.0963,-0.015,-0.1239,-0.0187,-0.0709,0.0018,-0.0738,0.1366,-0.1166,0.1972,0.0317,-0.0522,-0.0536,0.6682,0.0587,-0.1649,0.0308,-0.0846,0.6182,0.4142,-0.1415,-0.0319,-0.0905,0.5334,0.3923,-0.0583,-0.0244,0.3027,0.0207,-0.4732,0.0024,0.0935,1,0.0188,-0.008,5e-04,-0.0989,0.0887,-0.0635,-0.0556,-0.0884,-0.1187,0.1095,-0.0156,0.0455,-0.0723,-0.0149,-0.0356,-0.0353,0.6535,0.5228,0.5697,0.5298,0.0712,-0.0708,0.1167,0.0257,0.2771,-0.0163,-0.0011,-0.1039,-0.1024,-0.0392,0.0686,0.0306,0.1653,0.6084,0.0431,-0.2152,-0.0165,0.0857,1
"38",0.2081,-0.0021,0.1954,0.0945,-0.0173,0.1406,0.0416,-0.0142,0.5,0.0044,0.0806,-0.0225,0.156,-0.0582,-0.0184,0.0198,-0.1579,0.052,-0.0727,-0.1932,-0.0493,0.1943,-0.0358,-0.0178,-0.066,0.1693,-0.0122,-0.0648,-0.0879,-0.1423,0.0479,-0.0464,-0.1667,0.0683,-0.1585,-0.1134,0.0188,1,0.0648,0.1439,0.0636,0.0013,0.1149,0.0519,-0.1132,0.1198,0.009,0.064,-0.0842,0.0572,0.0644,-0.1171,-0.1956,0.0558,0.0477,0.0693,-0.0892,0.0043,-0.0999,0.1038,-0.0792,-0.0536,0.0827,0.0711,0.0672,0.1005,-0.0568,-0.0695,0.0584,0.0102,-0.03,-0.2635,0.0232,-0.2706,-0.0877,-0.03
"39",3e-04,-0.0277,-0.0024,0.0419,-0.0214,-0.0127,0.0152,-0.1655,0.0636,0.0432,0.0901,0.012,0.0101,0.0045,-0.0396,-0.062,0.0828,0.1251,-0.1825,-0.0121,-0.1774,-0.0423,-0.093,-0.0609,-0.0879,-0.2082,-0.0989,0.0312,-0.0398,-0.023,-0.0917,-0.1352,-0.0399,-0.0423,0.0197,-0.0543,-0.008,0.0648,1,0.2444,-0.1688,-0.0318,-0.0215,0.0695,-0.0571,-0.1642,0.0491,0.0583,-0.1272,0.0333,0.1114,-0.0635,0.0025,0.0729,0.0559,0.0513,0.0386,0.0092,-0.0405,0.1641,-0.1365,-0.0307,-0.2048,-0.0651,-0.0819,-0.0145,-0.0347,0.033,-0.1838,0.0359,-0.1502,-0.0664,-0.0746,-0.0713,-0.0244,-0.0016
"40",0.0344,-0.0406,-0.0405,0.0452,0.025,-0.0819,-0.0608,-0.0834,0.1241,0.0181,0.0748,-0.0622,0.0136,-0.1003,-0.0547,-0.0377,0.0398,-0.0556,0.0375,-0.1042,0.0371,-0.0055,0.0168,-0.0994,0.0639,-0.0686,0.0303,-0.1011,-0.095,-0.1206,-0.006,-0.0867,0.0555,0.0887,-0.1662,0.0022,5e-04,0.1439,0.2444,1,-0.0544,-0.0435,-0.0794,-0.0631,-0.147,-0.1578,0.0189,0.099,-0.0186,0.0169,-0.1689,-0.1435,-0.004,0.0522,-0.0028,-0.0512,-0.0224,-0.0737,-0.1234,0.1087,-0.0226,-0.2147,-0.0947,-0.024,0.0171,-0.0038,-0.1359,-0.0896,-0.1663,0.2108,-0.0798,0.0081,0.0321,-0.1748,-0.0409,-0.0703
"41",0.098,0.1156,0.1189,0.0347,0.1395,0.1107,0.046,-0.0104,0.0204,-0.0954,-0.0363,-0.1274,0.0174,-0.0062,0.2044,-0.0358,-0.0848,0.0752,-0.1065,0.0618,-0.053,-0.1467,0.0588,-0.0156,-0.0157,0.0809,0.0656,-0.0528,0.0956,-0.1016,0.0659,0.0714,-0.089,-0.0052,-0.0254,-0.0648,-0.0989,0.0636,-0.1688,-0.0544,1,-0.0146,-0.0796,-0.1141,-0.0614,0.0467,-0.0628,-0.0661,-0.0537,-0.0107,-0.0828,-0.0596,4e-04,-0.0434,0.0596,-0.1883,0.0393,-0.0782,-0.0533,-0.2959,0.0854,0.0013,-0.0162,0.1362,0.1256,0.0599,-0.0263,-0.1542,0.0287,-0.0948,0.0868,-0.0516,-0.0148,0.0217,-0.0469,0.0058
"42",0.0993,-0.0064,0.0494,0.1196,-0.0396,0.0331,0.0122,0.0498,0.011,-0.0332,0.0258,0.0873,-6e-04,0.0814,0.0312,-0.1239,0.0935,-0.0692,0.0012,-0.1041,0.1321,0.1852,-0.054,0.0175,-0.0948,0.0392,0.0824,0.036,0.0765,0.0723,0.1068,0.0018,0.0908,-0.0758,-0.0097,0.0079,0.0887,0.0013,-0.0318,-0.0435,-0.0146,1,0.1046,-0.0183,-0.0781,-0.0587,0.1128,-0.1703,-0.1187,-0.0573,-0.0423,0.0018,-0.1498,0.0549,0.1158,0.0519,-0.0879,0.0404,0.1036,0.1288,-0.0048,-0.074,0.1918,0.1366,0.0979,-0.0488,-0.1828,0.1562,0.0086,0.0695,-0.0115,0.093,-0.104,-0.0201,0.0678,0.0385
"43",0.0632,-0.0178,0.0396,0.0122,-0.0511,0.0612,0.0398,0.1583,0.0565,-0.1207,0.0289,-0.033,0.0572,0.0655,-0.1014,0.0291,0.2116,0.0721,-0.2246,-0.0887,0.0623,0.1604,-0.1578,-0.0116,0.0313,0.1494,0.16,-0.0516,-0.0125,0.0504,-0.028,-0.0287,0.0918,0.0376,-0.0331,0.1099,-0.0635,0.1149,-0.0215,-0.0794,-0.0796,0.1046,1,0.1612,-0.0511,-0.1015,-0.1929,-0.1393,0.0046,0.0432,0.017,0.0081,-0.0967,-0.0405,-0.0899,-0.0216,0.0491,0.0091,0.1125,0.0199,-0.0288,-0.0573,0.2891,0.1983,-0.0162,-0.0195,-0.0574,0.0077,0.1864,0.034,-0.0758,0.0596,-0.0161,-0.0289,0.1448,-0.0685
"44",0.039,0.0292,0.0695,0.0325,0.0116,0.0962,0.0157,-0.0512,0.0414,0.0262,0.041,0.0295,0.0127,0.0786,0.0367,0.0982,-0.0408,-0.0356,0.0017,-0.0657,0.0614,0.2509,-0.083,0.023,-0.0364,-0.0852,0.1382,0.0364,0.0332,0.1434,0.0281,-0.0079,-0.0717,-0.0428,-0.0483,0.0071,-0.0556,0.0519,0.0695,-0.0631,-0.1141,-0.0183,0.1612,1,-0.0354,-0.1814,-0.0943,0.015,-0.0314,-0.0278,0.0385,0.0066,0.0068,-0.0554,0.0079,-0.0483,0.1618,-0.0133,0.1808,-0.22,-0.0864,0.0479,0.0509,-0.084,0.0527,0.1184,0.2154,0.0423,0.0107,-0.0219,-0.0398,-0.0573,-0.0899,-0.0507,0.0663,-0.0102
"45",-0.0923,-0.0283,-0.071,-0.0544,-9e-04,-0.0414,-0.0579,0.0544,-0.0834,0.0753,-0.0377,0.0521,-0.0458,0.01,-0.0088,0.0849,-0.0272,0.0817,0.0015,0.079,-0.1426,-0.1466,-0.0555,-0.0402,0.0312,0.1637,0.0794,0.0424,-0.0194,0.0085,-0.026,0.0781,-0.0383,0.0217,0.0163,-0.1048,-0.0884,-0.1132,-0.0571,-0.147,-0.0614,-0.0781,-0.0511,-0.0354,1,-0.0314,-0.0018,0.0937,0.1765,0.0412,0.1216,0.0668,0.0913,-0.0944,0.0217,-0.0062,-0.097,0.1119,-0.0373,-0.1148,0.0877,-0.014,-0.2964,-0.1737,-0.0598,-0.0323,-0.0348,-0.0872,-0.0692,0.0475,0.0738,-0.0059,0.0475,0.0539,-0.0883,-0.0273
"46",0.0507,0.0084,0.001,0.0716,-0.0044,-0.0365,0.0025,-0.076,0.0799,-0.1044,-0.0071,0.0494,0.0274,-0.0935,-0.0135,0.0667,0.1657,0.0639,0.0136,0.0397,0.178,0.0853,0.0584,0.0348,0.0767,0.0741,-0.0396,-0.0508,-0.0315,0.0455,0.0471,-0.0184,-0.1519,0.0136,0.0109,-0.1478,-0.1187,0.1198,-0.1642,-0.1578,0.0467,-0.0587,-0.1015,-0.1814,-0.0314,1,0.2426,0.0365,0.0223,0.029,-0.0339,0.0803,-0.0842,0.0084,-0.0366,0.1296,-0.026,0.0749,0.0512,-8e-04,-0.0529,0.2194,-0.0358,-0.0976,0.0387,0.0899,0.06,0.0497,0.0413,0.0368,0.0163,-0.1407,0.0218,-0.0183,-0.162,0.0014
"47",0.0558,-0.0928,-0.1575,0.2362,-0.0926,-0.2797,-0.081,-0.2428,0.017,-0.004,0.0145,-0.1018,-0.0271,-0.0752,-0.0023,0.0987,0.2359,-0.0835,0.1152,0.1145,0.1696,-0.0332,0.0913,0.0334,-0.1052,-0.27,-0.0358,-0.1313,-0.0486,-0.0574,-0.0047,0.0438,-0.1315,0.0035,0.0425,0.0173,0.1095,0.009,0.0491,0.0189,-0.0628,0.1128,-0.1929,-0.0943,-0.0018,0.2426,1,-0.0506,0.0187,0.0556,0.0061,0.0159,0.0178,0.138,0.088,-0.016,-0.1272,0.0545,-0.0479,-0.0753,-0.2293,-0.0865,-0.1555,-0.1305,0.0622,-0.1493,0.0115,0.3123,0.2509,0.1479,0.1143,-0.0824,2e-04,0.0014,-0.0372,0.0264
"48",-0.0239,0.0736,-0.0143,-0.0474,0.0809,-0.0187,0.1215,-0.1932,0.0175,0.2655,-0.0797,0.0797,-0.015,0.0073,-0.1778,-0.0707,-0.1758,0.0296,0.0322,-0.1361,-0.0511,0.0372,-0.051,0.0771,0.0906,-0.0834,-0.1342,0.0147,-0.0106,0.0619,-0.046,-0.0455,0.1026,0.046,-0.0861,0.0403,-0.0156,0.064,0.0583,0.099,-0.0661,-0.1703,-0.1393,0.015,0.0937,0.0365,-0.0506,1,-0.0601,0.1104,0.025,-0.1092,-0.1804,-0.1263,0.0957,0.1361,-0.1743,-0.1688,0.0297,0.0745,-0.1507,-0.0214,0.0071,0.0194,-0.1049,0.0725,0.0744,0.0803,-0.1314,0.0061,-0.126,0.0532,0.1078,-0.0429,0.005,-0.0407
"49",-0.0429,-0.0023,-0.0346,-0.0682,-0.0076,-0.0495,-0.0057,0.1115,-0.0226,0.0222,-0.0375,0.0414,0.0212,-0.0289,-0.0055,0.185,-0.0518,0.1118,0.0858,-0.1064,0.1269,0.0585,0.1494,0.0129,0.0239,0.0257,0.1009,-0.004,-0.0261,0.023,0.112,0.0833,-0.0973,0.0218,0.0344,0.157,0.0455,-0.0842,-0.1272,-0.0186,-0.0537,-0.1187,0.0046,-0.0314,0.1765,0.0223,0.0187,-0.0601,1,0.0918,-4e-04,-0.0285,0.0031,0.035,0.0372,0.1203,-0.1126,0.0288,0.0232,-0.1508,0.1067,-0.0791,0.103,0.099,0.0779,0.1692,0.0267,-0.0601,-0.0416,-0.0626,0.1306,-0.0834,0.0365,0.0498,0.0721,0.0578
"50",0.3177,0.2905,0.3174,0.1075,-0.0333,0.0443,0.5415,-0.0528,0.594,0.1494,0.3965,0.0446,0.9,-0.1644,-0.0231,-0.0758,0.1378,0.0274,-0.0429,0.1367,0.0433,-0.1529,-0.0485,0.0897,0.196,-0.0925,0.0352,-0.0671,-0.3865,0.1594,-0.1134,-0.2994,-0.0651,0.449,-0.0317,0.0124,-0.0723,0.0572,0.0333,0.0169,-0.0107,-0.0573,0.0432,-0.0278,0.0412,0.029,0.0556,0.1104,0.0918,1,0.6795,0.6033,0.455,0.3981,-0.1912,-0.1957,0.0625,-0.0443,0.0649,-0.0933,0.3412,-0.286,0.655,0.1056,-0.1088,0.1925,-0.0392,-0.2462,-0.0413,-0.235,-0.1181,-0.4161,0.1493,-0.2714,-0.0224,-0.1434
